iter	Passed	Remaining
406	782	1140
407	783	1137
408	784	1134
409	787	1133
410	789	1130
411	790	1128
412	791	1125
413	792	1122
414	794	1119
415	795	1116
416	796	1113
417	797	1110
418	798	1107
419	800	1105
420	803	1104
421	804	1101
422	805	1098
423	806	1095
424	807	1093
425	809	1090
426	810	1087
427	811	1084
428	812	1080
429	812	1077
430	813	1074
431	814	1071
432	817	1070
433	819	1068
434	820	1065
435	821	1062
436	822	1059
437	823	1056
438	824	1053
439	825	1050
440	826	1047
441	827	1044
442	828	1041
443	829	1038
444	832	1037
445	833	1035
446	834	1032
447	835	1029
448	836	1027
449	837	1024
450	838	1021
451	840	1018
452	841	1015
453	842	1012
454	843	1009
